aichi     ,あいち     ,アイチ     ,愛知   ,
akita     ,あきた     ,アキタ     ,秋田   ,
aomori    ,あおもり   ,アオモリ   ,青森   ,
chiba     ,ちば       ,チバ       ,千葉   ,
ehime     ,えひめ     ,エヒメ     ,愛媛   ,
fukui     ,ふくい     ,フクイ     ,福井   ,
fukuoka   ,ふくおか   ,フクオカ   ,福岡   ,
fukushima ,ふくしま   ,フクシマ   ,福島   ,
gifu      ,ぎふ       ,ギフ       ,岐阜   ,
gumma     ,ぐんま     ,グンマ     ,群馬   ,
hiroshima ,ひろしま   ,ヒロシマ   ,広島   ,
okayama   ,おかやま   ,オカヤマ   ,岡山   ,
hokkai    ,ほっかい   ,ホッカイ   ,北海   ,
hyogo     ,ひょうご   ,ヒョウゴ   ,兵庫   ,
ibaraki   ,いばらき   ,イバラキ   ,茨城   ,
ishikawa  ,いしかわ   ,イシカワ   ,石川   ,
iwate     ,いわて     ,イワテ     ,岩手   ,
kagawa    ,かがわ     ,カガワ     ,香川   ,
kagoshima ,かごしま   ,カゴシマ   ,鹿児島 ,
kanagawa  ,かながわ   ,カナガワ   ,神奈川 ,
kochi     ,こうち     ,コウチ     ,高知   ,
kumamoto  ,くまもと   ,クマモト   ,熊本   ,
kyoto     ,きょうと   ,キョウト   ,京都   ,
mie       ,みえ       ,ミエ       ,三重   ,
miyagi    ,みやぎ     ,ミヤギ     ,宮城   ,
miyazaki  ,みやざき   ,ミヤザキ   ,宮崎   ,
nagano    ,ながの     ,ナガノ     ,長野   ,
nagasaki  ,ながさき   ,ナガサキ   ,長崎   ,
nara      ,なら       ,ナラ       ,奈良   ,
niigata   ,にいがた   ,ニイガタ   ,新潟   ,
oita      ,おおいた   ,オオイタ   ,大分   ,
okinawa   ,おきなわ   ,オキナワ   ,沖縄   ,
osaka     ,おおさか   ,オオサカ   ,大阪   ,
saga      ,さが       ,サガ       ,佐賀   ,
saitama   ,さいたま   ,サイタマ   ,埼玉   ,
shiga     ,しが       ,シガ       ,滋賀   ,
shimane   ,しまね     ,シマネ     ,島根   ,
shizuoka  ,しずおか   ,シズオカ   ,静岡   ,
tochigi   ,とちぎ     ,トチギ     ,栃木   ,
tokushima ,とくしま   ,トクシマ   ,徳島   ,
tokyo     ,とうきょう ,トウキョウ ,東京   ,
tottori   ,とっとり   ,トットリ   ,鳥取   ,
toyama    ,とやま     ,トヤマ     ,富山   ,
wakayama  ,わかやま   ,ワカヤマ   ,和歌山 ,
yamagata  ,やまがた   ,ヤマガタ   ,山形   ,
yamaguchi ,やまぐち   ,ヤマグチ   ,山口   ,
yamanashi ,やまなし   ,ヤマナシ   ,山梨   ,
